Fusion index,Description,Config,Name,OpType,Count,Bounded-by,Execution time,Compute time,Memory time,ICI/NVLink time,ICI/NVLink outbound traffic,ICI/NVLink inbound traffic,Aggregated DCN time,DCN 0 time,PCIe time,Temporary memory size,Persistent memory size,MXU time,VPU time,Transpose time,Permute time,Bytes accessed,Input Tensor Shapes,Output Tensor Shapes,FLOP Count,Op Name,Op Code,Weight Size,Output Shape,parsed_op_type,dim_labels,tile_shapes,num_tiles,max_vmem_demand_bytes,num_mxu_ops,einsum_B_size,einsum_M_size,einsum_N_size,einsum_K_size,vu_softmax_time_ns,Compute Time (ns),Bytes Accessed,DVFS SA Policy,DVFS SA Voltage (V),DVFS SA Frequency (GHz),DVFS VU Policy,DVFS VU Voltage (V),DVFS VU Frequency (GHz),DVFS SRAM Policy,DVFS SRAM Voltage (V),DVFS SRAM Frequency (GHz),DVFS HBM Policy,DVFS HBM Voltage (V),DVFS HBM Frequency (GHz),DVFS ICI Policy,DVFS ICI Voltage (V),DVFS ICI Frequency (GHz),Vmem time,static_energy_sa_J,static_energy_vu_J,static_energy_sram_J,static_energy_hbm_J,static_energy_ici_J,static_energy_other_J,dynamic_energy_sa_J,dynamic_energy_vu_J,dynamic_energy_sram_J,dynamic_energy_hbm_J,dynamic_energy_ici_J,dynamic_energy_other_J,static_energy_J,dynamic_energy_J,total_energy_J,static_power_W,dynamic_power_W,total_power_W,num_setpm_sa,num_setpm_vu,num_setpm_sram,num_setpm_hbm,num_setpm_ici,tflops_per_sec,hbm_bw_GBps,flops_util,hbm_bw_util,DVFS SA Scaling Time (ns),DVFS SA Power Efficiency (%),DVFS VU Scaling Time (ns),DVFS VU Power Efficiency (%),DVFS SRAM Scaling Time (ns),DVFS SRAM Power Efficiency (%),DVFS HBM Scaling Time (ns),DVFS HBM Power Efficiency (%),DVFS ICI Scaling Time (ns),DVFS ICI Power Efficiency (%),DVFS SA Activity Factor,DVFS VU Activity Factor,DVFS SRAM Activity Factor,DVFS HBM Activity Factor,DVFS ICI Activity Factor
2,Fwd-Attention-encoder-Input_rmsnorm,"RMSNorm(x=4x2048x1440,memory_placements=0_0,type=DT_BFLOAT16)",FwdAttentionencoderInputrmsnormXnormRMSNormX,VPU,5,Memory,15894,6777,15894,0,0,0,0,0,0,0,0,0,6777,0,0,47185920,"DT_BFLOAT16:[4,2048,1440]","[DT_BFLOAT16:(4,2048,1440)]",70778880,FwdAttentionencoderInputrmsnormXnormRMSNormX,RMSNorm,0,[],RMSNorm,,,,,0,,,,,0,6777,47185920,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4.453182332955832,2764.8994903737257,0.4263540070614881,0.9999636493214198,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
3,Concatenate dims before attn,AllGather(4x2048x1440->4x2048x2880),ConcatenatedimsbeforeattnAllGatherMHA3,ICINoCompute,18,ICI/NVLink,235930,0,31787,235930,47185920,47185920,0,0,0,0,0,0,0,0,0,94371840,"DT_BFLOAT16:[4,2048,1440]","[DT_BFLOAT16:(4,2048,2880)]",0,ConcatenatedimsbeforeattnAllGatherMHA3,AllGather,0,[],AllGather,,,,,0,,,,,0,0,94371840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,372.52839825371933,0.0,0.13472998128525113,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,-Q-4,"XlaEinsum(a=4x2048x2880,b=2880x32x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",Q4MatMulQ,MXU,18,Compute,221685,221685,31169,0,0,0,0,0,0,0,0,221685,36944,0,0,92536832,"DT_BFLOAT16:[4,2048,2880],DT_BFLOAT16:[2880,32,64]","[DT_BFLOAT16:(4,2048,32,64)]",96636764160,Q4MatMulQ,Einsum,11796480,[],Einsum,"BLM,MND->BLND","[[4, 2048, 2880], [2880, 32, 64], [4, 2048, 32, 64]]",1,54525952,23552,1,8192,2048,2880,0,221685,92536832,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,39010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9192735638406,388.7572033516025,0.9557755177137137,0.14059935021757777,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,-K-4,"XlaEinsum(a=4x2048x2880,b=2880x4x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",K4MatMulK,MXU,18,Compute,27728,27728,17803,0,0,0,0,0,0,0,0,27728,4618,0,0,52854784,"DT_BFLOAT16:[4,2048,2880],DT_BFLOAT16:[2880,4,64]","[DT_BFLOAT16:(4,2048,4,64)]",12079595520,K4MatMulK,Einsum,1474560,[],Einsum,"BLM,MND->BLND","[[4, 2048, 2880], [2880, 4, 64], [4, 2048, 4, 64]]",1,21495808,2944,1,8192,256,2880,0,27728,52854784,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,5799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.6461165608771,1775.276021192477,0.9551766068791683,0.6420528105578579,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
4,-V-4,"XlaEinsum(a=4x2048x2880,b=2880x4x64,eq=BLM;MND->BLND,memory_placements=0_0_0,type=DT_BFLOAT16)",V4MatMulV,MXU,18,Compute,27728,27728,17803,0,0,0,0,0,0,0,0,27728,4618,0,0,52854784,"DT_BFLOAT16:[4,2048,2880],DT_BFLOAT16:[2880,4,64]","[DT_BFLOAT16:(4,2048,4,64)]",12079595520,V4MatMulV,Einsum,1474560,[],Einsum,"BLM,MND->BLND","[[4, 2048, 2880], [2880, 4, 64], [4, 2048, 4, 64]]",1,21495808,2944,1,8192,256,2880,0,27728,52854784,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,5799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.6461165608771,1775.276021192477,0.9551766068791683,0.6420528105578579,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
5,-FlashAttention-5,"FlashAttention(q=4x2048x32x64,k=4x2048x4x64,v=4x2048x4x64,memory_placements=[0, 0, 0],type=DT_BFLOAT16)",FlashAttention5FlashAttention,MXU,18,Compute,616848,616848,25430,0,0,0,0,0,0,0,0,616848,308405,0,0,75497472,"DT_BFLOAT16:[4,2048,32,64],DT_BFLOAT16:[4,2048,4,64],DT_BFLOAT16:[4,2048,4,64]","[DT_BFLOAT16:(4,2048,32,64)]",139586437120,FlashAttention5FlashAttention,FlashAttention,0,[],FlashAttention,,"[2048, 128]",,1589248,65536,128,2048,2048,64,205603,616848,75497472,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,104490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,226.289843073172,113.98675200373512,0.49615216631375064,0.04122486510080836,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
6,-Attention_output-6,"XlaEinsum(a=4x2048x32x64,b=32x64x2880,eq=BLND;NDM->BLM,memory_placements=0_0_0,type=DT_BFLOAT16)",Attentionoutput6MatMulattnOutputattnAvgWo,MXU,18,Compute,221685,221685,31169,0,0,0,0,0,0,0,0,221685,36944,0,0,92536832,"DT_BFLOAT16:[4,2048,32,64],DT_BFLOAT16:[32,64,2880]","[DT_BFLOAT16:(4,2048,2880)]",96636764160,Attentionoutput6MatMulattnOutputattnAvgWo,Einsum,11796480,[],Einsum,"BLND,NDM->BLM","[[4, 2048, 32, 64], [32, 64, 2880], [4, 2048, 2880]]",1,69861376,23552,1,8192,2880,2048,0,221685,92536832,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,39010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,435.9192735638406,388.7572033516025,0.9557755177137137,0.14059935021757777,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
7,Reduce and split attention results,"ReduceScatter(['4', '2048', '2880']->['4', '2048', '1440'])",ReduceandsplitattentionresultsAllReduceReduceScatter7,VPU,18,ICI/NVLink,117965,1920,15894,117965,23592960,23592960,0,0,0,0,0,0,1920,0,0,47185920,"DT_BFLOAT16:[4,2048,2880]","[DT_BFLOAT16:(4,2048,1440)]",11796480,ReduceandsplitattentionresultsAllReduceReduceScatter7,ReduceScatter,0,[],ReduceScatter,,,,,0,,,,,0,1920,47185920,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.09999983045818675,372.52839825371933,0.009574125924688528,0.13472998128525113,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
8,-Attention_layernorm-8,"LayerNorm(x=4x2048x1440,memory_placements=0_0,type=DT_BFLOAT16)",Attentionlayernorm8YnormLayerNormy,VPU,18,Memory,15894,9036,15894,0,0,0,0,0,0,0,0,0,9036,0,0,47185920,"DT_BFLOAT16:[4,2048,1440]","[DT_BFLOAT16:(4,2048,1440)]",94371840,Attentionlayernorm8YnormLayerNormy,LayerNorm,0,[],LayerNorm,,,,,0,,,,,0,9036,47185920,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,5.93757644394111,2764.8994903737257,0.5684720094153176,0.9999636493214198,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
8,Gather results after Layernorm,AllGather(4x2048x1440->4x2048x2880),GatherresultsafterLayernormAllReduceAllGather8,ICINoCompute,18,ICI/NVLink,235930,0,31787,235930,47185920,47185920,0,0,0,0,0,0,0,0,0,94371840,"DT_BFLOAT16:[4,2048,1440]","[DT_BFLOAT16:(4,2048,2880)]",0,GatherresultsafterLayernormAllReduceAllGather8,AllGather,0,[],AllGather,,,,,0,,,,,0,0,94371840,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,372.52839825371933,0.0,0.13472998128525113,20,100.0,20,100.0,20,100.0,20,100.0,20,100.0,1.0,1.0,1.0,1.0,1.0
